Decile,Mean Monthly Return,Std Dev,Count,Sharpe (Monthly),Sharpe (Annualized)
1,0.015996318489096484,0.016361506177778293,103,0.7775921463866814,2.6936582102165363
2,0.011419910487102296,0.012772277683198191,103,0.6378009394220728,2.2094072643883798
3,0.01119715178290196,0.010417708373635886,103,0.7605714919756094,2.63469693378044
4,0.01104221976206951,0.01084771551422851,103,0.7161397226615129,2.4807807699360502
5,0.010925629534167551,0.01136092120262384,103,0.673527226841553,2.333166754341076
6,0.01109551946984803,0.010535177109966959,103,0.7424440620223847,2.571901674401178
7,0.011156448910867601,0.010069232434789549,103,0.782851044478192,2.711875567589183
8,0.011158952675367395,0.011353835341699862,103,0.6944977318992835,2.4058107147818153
9,0.011177994903586378,0.012081038652818614,103,0.6542695002091836,2.2664560324100043
10,0.017999208521892636,0.017367474490003424,103,0.847876226803706,2.937129406707623
